draw_no,date,n1,n2,n3,n4,n5,n6,bonus,rnk1_winners,rnk1_prize,rnk2_winners,rnk2_prize,rnk3_winners,rnk3_prize
1,2002-12-07,10,23,29,33,37,40,16,0,0,1,143934100,28,5140500
2,2002-12-14,9,13,21,25,32,42,2,1,2002006800,2,94866800,103,1842000
3,2002-12-21,11,16,19,21,27,31,30,1,2000000000,0,0,139,1174100
4,2002-12-28,14,27,30,31,40,42,2,0,0,1,211191200,29,7282400
5,2003-01-04,16,24,29,40,41,42,3,0,0,0,0,42,6033800
6,2003-01-11,14,15,26,27,40,42,34,1,6574451700,3,196297600,138,4267300
7,2003-01-18,2,9,16,25,26,40,42,0,0,9,48165000,270,1605500
8,2003-01-25,8,19,25,34,37,39,9,0,0,6,131555000,348,2268100
9,2003-02-01,2,4,16,17,36,39,14,0,0,4,769456500,352,8743800
10,2003-02-08,9,25,30,33,41,44,6,13,6430437900,236,40813400,11247,856400
11,2003-02-15,1,7,36,37,41,42,14,5,4780152300,11,362132700,428,9307100
12,2003-02-22,2,11,21,25,39,45,44,12,1348845700,27,99914400,1903,1417500
13,2003-03-01,22,23,25,37,38,42,26,0,0,6,433309300,450,5777400
14,2003-03-08,2,6,12,31,33,40,15,4,9375048300,28,130363400,1421,2568700
15,2003-03-15,3,4,16,30,31,37,13,1,17014245000,16,177231700,509,5571100
16,2003-03-22,6,7,24,37,38,40,33,4,4377146100,12,243174700,862,3385200
17,2003-03-29,3,4,9,17,32,37,1,3,5349491200,9,297193900,1142,2342100
18,2003-04-05,3,12,13,19,32,35,29,0,0,15,175017300,664,3953700
19,2003-04-12,6,30,38,39,40,43,26,1,40722959400,14,297278500,697,5971100
20,2003-04-19,10,14,18,20,23,30,41,1,19352212800,14,230383400,888,3632100
21,2003-04-26,6,12,17,18,31,32,21,23,797475400,26,117576500,2008,1522400
22,2003-05-03,4,5,6,8,17,39,25,4,4552194900,32,94837300,827,3669600
23,2003-05-10,5,13,17,18,33,42,44,4,4317947700,23,125157900,1372,2098100
24,2003-05-17,7,8,27,29,36,43,6,0,0,18,176023700,925,3425300
25,2003-05-24,2,4,21,26,43,44,16,2,24227745300,28,175267400,1111,4417100
26,2003-05-31,4,5,7,18,20,25,31,5,3495069900,39,74680900,1340,2173500
27,2003-06-07,1,20,26,28,37,43,27,2,9543982500,16,198832900,579,5494500
28,2003-06-14,9,18,23,25,35,37,1,10,1700361100,22,128815200,1164,2434600
29,2003-06-21,1,5,13,34,39,40,11,5,3552594000,17,174146700,752,3936800
30,2003-06-28,8,17,20,35,36,44,4,2,8728555500,22,132250800,872,3336600
31,2003-07-05,7,9,18,23,28,35,32,2,8106672900,29,93180100,1130,2391300
32,2003-07-12,6,14,19,25,34,44,11,10,1634528300,49,55596200,1203,2264500
33,2003-07-19,4,7,32,33,40,41,9,1,14903517600,41,60583400,1063,2336700
34,2003-07-26,9,26,35,37,40,42,2,5,3056918000,45,56609500,1264,2015300
35,2003-08-02,2,3,11,26,37,43,39,3,5054598200,24,105304100,933,2708700
36,2003-08-09,1,10,23,26,28,40,31,1,16014475800,19,140477800,768,3475300
37,2003-08-16,7,27,30,33,35,37,42,3,4985999400,20,124649900,857,2908900
